driver_1,driver_2,constructorId,year,driver_1_points,driver_2_points
622,697,105,1952,0,2
622,741,105,1952,0,0
622,746,105,1952,0,0
622,748,105,1952,0,0
622,759,105,1952,0,0
622,761,105,1952,0,0
622,762,105,1952,0,0
640,697,105,1952,0,2
640,741,105,1952,0,0
640,746,105,1952,0,0
640,748,105,1952,0,0
640,759,105,1952,0,0
640,761,105,1952,0,0
640,762,105,1952,0,0
697,741,105,1952,2,0
697,746,105,1952,2,0
697,748,105,1952,2,0
697,759,105,1952,2,0
697,761,105,1952,2,0
697,762,105,1952,2,0
741,746,105,1952,0,0
741,748,105,1952,0,0
741,759,105,1952,0,0
741,761,105,1952,0,0
741,762,105,1952,0,0
746,748,105,1952,0,0
746,759,105,1952,0,0
746,761,105,1952,0,0
746,762,105,1952,0,0
748,759,105,1952,0,0
748,761,105,1952,0,0
748,762,105,1952,0,0
759,761,105,1952,0,0
759,762,105,1952,0,0
761,762,105,1952,0,0
498,577,105,1953,15,0
498,579,105,1953,15,30
498,622,105,1953,15,0
498,640,105,1953,15,7
498,644,105,1953,15,0
498,660,105,1953,15,0
498,669,105,1953,15,0
498,670,105,1953,15,4
498,691,105,1953,15,2
498,695,105,1953,15,2
498,697,105,1953,15,7
577,579,105,1953,0,30
577,622,105,1953,0,0
577,640,105,1953,0,7
577,644,105,1953,0,0
577,660,105,1953,0,0
577,669,105,1953,0,0
577,670,105,1953,0,4
577,691,105,1953,0,2
577,695,105,1953,0,2
577,697,105,1953,0,7
579,622,105,1953,30,0
579,640,105,1953,30,7
579,644,105,1953,30,0
579,660,105,1953,30,0
579,669,105,1953,30,0
579,670,105,1953,30,4
579,691,105,1953,30,2
579,695,105,1953,30,2
579,697,105,1953,30,7
622,640,105,1953,0,7
622,644,105,1953,0,0
622,660,105,1953,0,0
622,669,105,1953,0,0
622,670,105,1953,0,4
622,691,105,1953,0,2
622,695,105,1953,0,2
622,697,105,1953,0,7
640,644,105,1953,7,0
640,660,105,1953,7,0
640,669,105,1953,7,0
640,670,105,1953,7,4
640,691,105,1953,7,2
640,695,105,1953,7,2
640,697,105,1953,7,7
644,660,105,1953,0,0
644,669,105,1953,0,0
644,670,105,1953,0,4
644,691,105,1953,0,2
644,695,105,1953,0,2
644,697,105,1953,0,7
660,669,105,1953,0,0
